episode,event_type,main_performer,related_performer,intensity,description
1,SETUP,ALL,,2,입주 시작 및 X 소개서 공개
2,SETUP,ALL,,2,X 소개서 기반 초기 감정 동요/관계 탐색
3,DATE,박원빈,이나연,2,초기 데이트/호감 탐색
4,EXIT,최이현,,2,중도 퇴소로 초기 구도 변동
5,ENTRY,성해은,,4,여자 메기(성해은) 투입
6,ENTRY,남희두,이나연,5,남자 메기(남희두) 투입 및 나연 동요 시작
7,DATE,남희두,이지연,3,희두-지연 데이트로 나연 질투 트리거
8,CONFLICT,이나연,남희두,3,X 재회 이후 긴장/말다툼 증가
9,MISSION,ALL,,3,X/지정 데이트 미션 시작(혼란 구간)
10,CONFLICT,이나연,남희두,4,차 안 말다툼(대표 갈등 장면)
11,MISSION,박원빈,김지수,3,X 관련 대화/오해 반복(접근-거리두기)
12,X_ROOM,성해은,정규민,5,X룸 공개 및 감정 폭발(오열)
13,ENTRY,박나언,김태이,3,여자 메기(박나언) 투입 및 태이 라인 형성
14,SHIFT,성해은,정규민,4,구도 고착/감정 누적(전환 직전)
15,ENTRY,정현규,성해은,5,남자 메기(정현규) 등장 및 해은 첫 지목(전환점)
16,TRAVEL,ALL,,3,제주도 이동/관계 재편 가속
17,DATE,성해은,정현규,4,해은-현규 급진전(손깍지 등 진도)
18,REGRET,정규민,성해은,4,규민 뒤늦은 미련/견제(타이밍 이슈)
19,TRUTH_GAME,ALL,,4,진실게임으로 속마음 공개/갈등 정점
20,FINAL,성해은,정현규,5,최종 선택(해은-현규 / 나연-희두 / 나언-태이)
